"","ID","p.adjust","qvalue","count"
"GO:0099536","GO:0099536",1.50532588288094e-70,69.9119208788799,134
"GO:0099537","GO:0099537",1.24271305692845e-69,68.9951805465213,131
"GO:0007268","GO:0007268",4.67768939122894e-69,68.4195200275932,130
"GO:0098916","GO:0098916",4.67768939122894e-69,68.4195200275932,130
"GO:0050804","GO:0050804",4.3504566136725e-42,41.4510165660514,67
"GO:0099177","GO:0099177",4.3504566136725e-42,41.4510165660514,67
"GO:0050808","GO:0050808",4.37335343936212e-39,38.4487368309761,70
"GO:0035249","GO:0035249",2.93183126323853e-29,28.622412436345,38
"GO:0034330","GO:0034330",5.80167192715969e-28,27.3259982412391,76
"GO:0048667","GO:0048667",1.4104848486345e-25,24.9401829825791,91
"GO:0007409","GO:0007409",2.94115078045447e-25,24.6210341183907,86
"GO:0061564","GO:0061564",6.51319046713676e-25,24.275757629363,91
"GO:0007416","GO:0007416",2.08875214911057e-22,21.7696644981776,36
"GO:0042391","GO:0042391",7.29703538583442e-22,21.2264049556224,50
"GO:0099003","GO:0099003",1.35035873065188e-21,20.9591022512456,41
"GO:0099504","GO:0099504",1.35035873065188e-21,20.9591022512456,41
"GO:0098609","GO:0098609",2.31044828738578e-17,16.7258551553693,74
"GO:0045055","GO:0045055",3.26278575479891e-17,16.5759628503978,32
"GO:1903305","GO:1903305",4.59790009178348e-17,16.4269918777146,23
"GO:0007411","GO:0007411",6.54991626588068e-17,16.2733156599162,56
"GO:0097485","GO:0097485",6.54991626588068e-17,16.2733156599162,56
"GO:0017157","GO:0017157",2.92785615474852e-16,15.6230016718533,26
"GO:0017156","GO:0017156",7.6729553917874e-16,15.2045887345705,22
"GO:0099173","GO:0099173",7.6729553917874e-16,15.2045887345705,22
"GO:0070588","GO:0070588",8.51752279382462e-16,15.1592381034624,41
"GO:0010975","GO:0010975",3.76579784150905e-15,14.5136944057515,37
"GO:0006816","GO:0006816",4.15469954617043e-15,14.471011785377,43
"GO:0140352","GO:0140352",8.51213674040833e-15,14.1595128163363,53
"GO:0051046","GO:0051046",9.36483821865097e-15,14.1180511287594,32
"GO:0034329","GO:0034329",9.4246063719375e-15,14.115288187408,42
"GO:0032879","GO:0032879",1.91689676628836e-14,13.806952683172,67
"GO:0006887","GO:0006887",1.9683401103172e-14,13.7954512654176,40
"GO:0032940","GO:0032940",4.7008827306056e-14,13.4173719906187,48
"GO:0046903","GO:0046903",1.49801659449415e-13,12.9140347835739,49
"GO:0006836","GO:0006836",1.56015320589853e-13,12.8963841600759,30
"GO:0098742","GO:0098742",4.39587747818096e-13,12.4465058286515,41
"GO:0017158","GO:0017158",5.844629179251e-13,12.3227944459781,17
"GO:0006813","GO:0006813",7.16096442873587e-13,12.2345798914994,40
"GO:1903530","GO:1903530",8.21775532124977e-13,12.1747982016636,29
"GO:0007156","GO:0007156",8.69831683765916e-13,12.1501161850563,37
"GO:0051049","GO:0051049",3.01809620568912e-12,11.6098183285694,54
"GO:0007269","GO:0007269",3.42723172156291e-12,11.5546079390367,25
"GO:0099643","GO:0099643",3.42723172156291e-12,11.5546079390367,25
"GO:0019226","GO:0019226",3.7439424486607e-12,11.5162222437178,17
"GO:0071805","GO:0071805",1.58304466527174e-11,10.890058239361,36
"GO:0023061","GO:0023061",1.58736030467787e-11,10.8888758922757,30
"GO:0051130","GO:0051130",2.03506761752194e-11,10.7809725641761,43
"GO:0099054","GO:0099054",2.92177821644039e-11,10.6239041610862,13
"GO:0099172","GO:0099172",2.92177821644039e-11,10.6239041610862,13
"GO:0120035","GO:0120035",2.95550370228076e-11,10.6189199002091,39
"GO:0031344","GO:0031344",4.66733932940187e-11,10.4204820313946,39
"GO:0050770","GO:0050770",4.74315956280541e-11,10.4134836730924,21
"GO:0001941","GO:0001941",4.74315956280541e-11,10.4134836730924,12
"GO:0016079","GO:0016079",1.30533695054426e-10,9.97382877603972,21
"GO:0051966","GO:0051966",1.63445758362244e-10,9.87617775338812,15
"GO:0001508","GO:0001508",2.45224935946515e-10,9.69998677815646,23
"GO:0035725","GO:0035725",2.48161732175513e-10,9.69481659605632,28
"GO:0007215","GO:0007215",3.15948693799415e-10,9.58993484368759,13
"GO:0060627","GO:0060627",3.73611548701422e-10,9.51713111568723,31
"GO:0097120","GO:0097120",4.13954699113722e-10,9.47259859096058,16
"GO:0048488","GO:0048488",7.75811001798849e-10,9.19979547387286,15
"GO:0140238","GO:0140238",7.75811001798849e-10,9.19979547387286,15
"GO:0006814","GO:0006814",1.3935409579828e-09,8.94543167020643,32
"GO:0036465","GO:0036465",2.3989311285179e-09,8.70953362803987,16
"GO:0099068","GO:0099068",3.14698711983043e-09,8.59165644251204,9
"GO:0098953","GO:0098953",7.16324373074876e-09,8.23444167956002,10
"GO:0098970","GO:0098970",7.16324373074876e-09,8.23444167956002,10
"GO:0099628","GO:0099628",7.16324373074876e-09,8.23444167956002,10
"GO:0140029","GO:0140029",7.56174072327382e-09,8.21092962571713,18
"GO:0099072","GO:0099072",9.87204380840352e-09,8.09514433399511,14
"GO:0051962","GO:0051962",3.40703655257224e-08,7.55717461497927,21
"GO:0050772","GO:0050772",5.04425614350421e-08,7.38675427631786,13
"GO:0031346","GO:0031346",6.49650368494754e-08,7.27687171879735,21
"GO:0050806","GO:0050806",7.62064006727686e-08,7.20755995810461,13
"GO:0070509","GO:0070509",7.62064006727686e-08,7.20755995810461,13
"GO:0031340","GO:0031340",8.12160113871687e-08,7.17990975095317,10
"GO:0045921","GO:0045921",8.41900207150859e-08,7.16429079154522,9
"GO:0050803","GO:0050803",1.00589458958425e-07,7.08699893571302,17
"GO:0016082","GO:0016082",1.57446365026088e-07,6.89241876941862,10
"GO:0098657","GO:0098657",1.95300328413914e-07,6.79884843433237,53
"GO:0007214","GO:0007214",2.93160740294731e-07,6.62244559821289,10
"GO:1990138","GO:1990138",3.01320730780408e-07,6.61052239588567,21
"GO:0051050","GO:0051050",3.35652750822003e-07,6.56366119715358,20
"GO:0060078","GO:0060078",3.52654432096981e-07,6.54220206157426,12
"GO:0048588","GO:0048588",6.12728273531116e-07,6.30228348718802,22
"GO:0008038","GO:0008038",7.88259280758164e-07,6.19288231520406,12
"GO:0050807","GO:0050807",9.93288300657769e-07,6.09247608771373,15
"GO:0010959","GO:0010959",1.07202658396482e-06,6.05934585285959,18
"GO:0097479","GO:0097479",1.1165512406708e-06,6.04167274945475,11
"GO:0048675","GO:0048675",1.15916140707352e-06,6.02540749454771,19
"GO:0016358","GO:0016358",1.62152045944851e-06,5.87962897519232,15
"GO:0045956","GO:0045956",1.81938266061008e-06,5.82962735651613,7
"GO:1903307","GO:1903307",1.81938266061008e-06,5.82962735651613,7
"GO:0007216","GO:0007216",4.03795228768333e-06,5.48339022489545,8
"GO:1902476","GO:1902476",5.11074565131674e-06,5.38106714015126,16
"GO:0048013","GO:0048013",5.15889650874394e-06,5.37699459222935,11
"GO:0051963","GO:0051963",5.32634088675555e-06,5.36312245000772,10
"GO:0007626","GO:0007626",6.17439525843179e-06,5.29895698020838,26
"GO:1904062","GO:1904062",6.41508829976529e-06,5.2823487693736,15
"GO:0019228","GO:0019228",7.1817379399601e-06,5.23332185415458,8
"GO:2000300","GO:2000300",7.1817379399601e-06,5.23332185415458,8
"GO:0031338","GO:0031338",7.68019373018972e-06,5.20417923282803,10
"GO:0006820","GO:0006820",9.57847936833517e-06,5.10825483980105,22
"GO:0051968","GO:0051968",9.72209501488248e-06,5.1017915467664,7
"GO:0099590","GO:0099590",9.72209501488248e-06,5.1017915467664,7
"GO:0022603","GO:0022603",1.02200123806605e-05,5.08009998601432,37
"GO:0061024","GO:0061024",1.02200123806605e-05,5.08009998601432,43
"GO:0098703","GO:0098703",1.02200123806605e-05,5.08009998601432,9
"GO:1902656","GO:1902656",1.02200123806605e-05,5.08009998601432,9
"GO:0043269","GO:0043269",1.02200123806605e-05,5.08009998601432,20
"GO:0099637","GO:0099637",1.04809322768893e-05,5.06915149314784,10
"GO:0006821","GO:0006821",1.10980540416464e-05,5.04430457265606,19
"GO:0086010","GO:0086010",1.15857016600307e-05,5.02562906700496,8
"GO:0008088","GO:0008088",1.22123290707019e-05,5.00275290973674,11
"GO:0098930","GO:0098930",1.47415361993061e-05,4.92100866469095,10
"GO:0051648","GO:0051648",1.50754702076761e-05,4.91128054114685,21
"GO:0006904","GO:0006904",1.79217135068811e-05,4.8361718774296,7
"GO:0098943","GO:0098943",1.79217135068811e-05,4.8361718774296,7
"GO:0048168","GO:0048168",1.8922626556391e-05,4.81256998940023,8
"GO:0051960","GO:0051960",2.00700188084626e-05,4.78700362844012,25
"GO:0098659","GO:0098659",2.10107401231269e-05,4.76711005681558,18
"GO:0099587","GO:0099587",2.10107401231269e-05,4.76711005681558,18
"GO:0048167","GO:0048167",2.11288358053698e-05,4.76467583975112,11
"GO:0016049","GO:0016049",2.28677613916732e-05,4.73032775590219,22
"GO:0000381","GO:0000381",2.48215689879776e-05,4.69472217784845,12
"GO:0071526","GO:0071526",2.48215689879776e-05,4.69472217784845,12
"GO:0050769","GO:0050769",2.65183655073897e-05,4.66600465564919,15
"GO:0002028","GO:0002028",2.67322759012769e-05,4.66251547313668,10
"GO:0048489","GO:0048489",3.04070605433818e-05,4.60657696908458,9
"GO:0031632","GO:0031632",3.04070605433818e-05,4.60657696908458,7
"GO:0099502","GO:0099502",3.04070605433818e-05,4.60657696908458,7
"GO:1901634","GO:1901634",3.04070605433818e-05,4.60657696908458,7
"GO:2000649","GO:2000649",3.04070605433818e-05,4.60657696908458,7
"GO:0051640","GO:0051640",3.10868452495692e-05,4.59697475664973,34
"GO:0046928","GO:0046928",4.25169070257741e-05,4.46098974451103,9
"GO:0051047","GO:0051047",4.25169070257741e-05,4.46098974451103,9
"GO:1903532","GO:1903532",4.25169070257741e-05,4.46098974451103,9
"GO:0051899","GO:0051899",4.42766052313425e-05,4.44337709259608,11
"GO:0098656","GO:0098656",4.84701553179556e-05,4.40407699654358,16
"GO:0007610","GO:0007610",5.58457416628203e-05,4.34256134493645,34
"GO:1901888","GO:1901888",5.65292366615279e-05,4.33727828688802,11
"GO:1902305","GO:1902305",6.43519568804306e-05,4.28098965000943,8
"GO:0098661","GO:0098661",7.63769464802261e-05,4.20658911645883,16
"GO:0045773","GO:0045773",8.55962481743442e-05,4.15709667867729,7
"GO:0140056","GO:0140056",9.11811968795329e-05,4.1296461193034,11
"GO:0009101","GO:0009101",9.43022178014546e-05,4.11502950131972,30
"GO:0006897","GO:0006897",9.7470766572158e-05,4.10067702627715,35
"GO:0051588","GO:0051588",0.000109940231626156,4.04839476030511,9
"GO:0022406","GO:0022406",0.000112933978212422,4.03672678105566,11
"GO:0034765","GO:0034765",0.000133714895118469,3.96337161990276,16
"GO:0051259","GO:0051259",0.000144292077415711,3.9303089217995,18
"GO:0032252","GO:0032252",0.000148619322998002,3.91747612928064,6
"GO:0032253","GO:0032253",0.000148619322998002,3.91747612928064,6
"GO:0051668","GO:0051668",0.000162646476328908,3.87830674902059,35
"GO:0043113","GO:0043113",0.000184327554079869,3.8239611476345,8
"GO:0060560","GO:0060560",0.000184327554079869,3.8239611476345,23
"GO:0008361","GO:0008361",0.000184327554079869,3.8239611476345,14
"GO:0010720","GO:0010720",0.000195307377299413,3.79883275982298,16
"GO:0015698","GO:0015698",0.000205236334934172,3.77729715740731,19
"GO:0031623","GO:0031623",0.00021179955296686,3.76362636879147,10
"GO:0036269","GO:0036269",0.000220281456208652,3.74657346912601,16
"GO:0051094","GO:0051094",0.000238226343385321,3.71256162326085,31
"GO:0048813","GO:0048813",0.000243701866209732,3.70269255300433,9
"GO:1904862","GO:1904862",0.000245563342716767,3.69938787136655,6
"GO:0007019","GO:0007019",0.000245563342716767,3.69938787136655,8
"GO:0061387","GO:0061387",0.000373624279003172,3.51711631794976,11
"GO:0000380","GO:0000380",0.000378735034504023,3.51121592696953,12
"GO:0051932","GO:0051932",0.000396449427741162,3.49136361262232,6
"GO:0071277","GO:0071277",0.000396449427741162,3.49136361262232,6
"GO:1903076","GO:1903076",0.000396449427741162,3.49136361262232,6
"GO:0048278","GO:0048278",0.000396449427741162,3.49136361262232,9
"GO:0030307","GO:0030307",0.000401473807032935,3.48589419163915,7
"GO:0048639","GO:0048639",0.000401473807032935,3.48589419163915,7
"GO:0106027","GO:0106027",0.000401473807032935,3.48589419163915,7
"GO:0097553","GO:0097553",0.000431183952339356,3.45488881887135,12
"GO:0032412","GO:0032412",0.000431680035623077,3.45438944409287,8
"GO:0031503","GO:0031503",0.000442128557851142,3.44400284027706,16
"GO:0051261","GO:0051261",0.000550072775328168,3.34913125691545,14
"GO:0071248","GO:0071248",0.000552848413997959,3.34694533988969,7
"GO:0034762","GO:0034762",0.000552848413997959,3.34694533988969,16
"GO:0022898","GO:0022898",0.000552848413997959,3.34694533988969,8
"GO:0032409","GO:0032409",0.000552848413997959,3.34694533988969,8
"GO:1905475","GO:1905475",0.000552848413997959,3.34694533988969,8
"GO:0051650","GO:0051650",0.000552848413997959,3.34694533988969,17
"GO:0009100","GO:0009100",0.000552848413997959,3.34694533988969,31
"GO:0032535","GO:0032535",0.000559420835384971,3.34181277047825,23
"GO:0060997","GO:0060997",0.000574427793633853,3.33031596288392,6
"GO:1904375","GO:1904375",0.000574427793633853,3.33031596288392,6
"GO:0098739","GO:0098739",0.00059583474303412,3.31442558466032,18
"GO:0008090","GO:0008090",0.000676295730866838,3.25941476198394,5
"GO:0006486","GO:0006486",0.000676295730866838,3.25941476198394,24
"GO:0043413","GO:0043413",0.000676295730866838,3.25941476198394,24
"GO:0070507","GO:0070507",0.000677695262853614,3.25851695802751,13
"GO:0050767","GO:0050767",0.000683304671887036,3.25493701783477,19
"GO:0031629","GO:0031629",0.000702894737514188,3.24266111610369,9
"GO:0099500","GO:0099500",0.000702894737514188,3.24266111610369,9
"GO:0031630","GO:0031630",0.000702894737514188,3.24266111610369,7
"GO:0043266","GO:0043266",0.000702894737514188,3.24266111610369,7
"GO:0099565","GO:0099565",0.000702894737514188,3.24266111610369,7
"GO:1901632","GO:1901632",0.000702894737514188,3.24266111610369,7
"GO:0070085","GO:0070085",0.000723092273846871,3.23035768674863,25
"GO:0051965","GO:0051965",0.000814740711737928,3.17853198983138,6
"GO:0097061","GO:0097061",0.000814740711737928,3.17853198983138,6
"GO:0055082","GO:0055082",0.000839865721123577,3.1653415519053,28
"GO:0048499","GO:0048499",0.000856275578796696,3.15693784991723,9
